Mã máy,"Tên máy móc, thiết bị",Thông số kỹ thuật,Khu vực,Trạng thái,Người phụ trách
EQP-023,Hệ thống ương giống trụ tròn (750 lit),"220v, 50hz, IOT/0.6pma (Co2)",Greenhouse,dừng hoạt động,Dương Tấn Lộc
EQP-024,Ao nuôi tảo màu trắng (80m3),80x6m,Greenhouse,dừng hoạt động,Lê Minh Khang
EQP-025,AO nuôi tảo bạc đen,80x6m,Greenhouse,dừng hoạt động,Dương Tấn Lộc
EQP-026,Quạt tạo dòng chảy ao nuôi 80m3,"2,2kw/1.5kw, 380/vfd",Greenhouse,dừng hoạt động,Dương Tấn Lộc
EQP-027,Giải nhiệt cooling pad,124x1.2m,Greenhouse,dừng hoạt động,Dương Tấn Lộc
EQP-028,Quạt hút giải nhiệt nhà kính,"1.1kw, 380v",Greenhouse,dừng hoạt động,Lê Minh Khang
EQP-029,Đèn tăng tưởng tảo,"650w,220v/50hz",Greenhouse,dừng hoạt động,Lê Minh Khang
EQP-030,Bơm thu tảo thuỷ sản (trục vít),"30m3/h, 380v/50hz",Greenhouse,dừng hoạt động,Lê Minh Khang
EQP-031,Bơm thu tảo dự phòng (bơm ly tâm),"30m3/h, 380v/50hz",Greenhouse,tháo dở,Lê Minh Khang
EQP-032,Hệ thống điện năng lượng,411kwp/03 INVT hoà lưới trực tiếp,Greenhouse,đang hoạt động,Dương Tấn Lộc
EQP-033,Bơm thu hoạch cụm 04,2.2kw/380/vfd/1450 R.P.M,Khu nuôi ngoài trời,đang hoạt động,Lê Minh Khang
EQP-034,Bơm thu hoạch cụm 05,2.2kw/380/vfd/1450 R.P.M,Khu nuôi ngoài trời,đang hoạt động,Lê Minh Khang
EQP-035,Bơm thu hoạch cụm 06,2.2kw/380/vfd/1450 R.P.M,Khu nuôi ngoài trời,đang hoạt động,Lê Minh Khang
EQP-036,Bơm thu hoạch cụm 07,2.2kw/380/vfd/1450 R.P.M,Khu nuôi ngoài trời,đang hoạt động,Lê Minh Khang
EQP-037,Ao nuôi tảo 12x124m,250-300m3,Khu nuôi ngoài trời,đang hoạt động,Dương Tấn Lộc
EQP-038, Quạt tạo dòng ao 12x124,2.2kw/380v/vfd,Khu nuôi ngoài trời,đang hoạt động,Dương Tấn Lộc
EQP-039,Máy sấy khí,"220v, 50hz",khu vực ngoài,đang hoạt động,Dương Tấn Lộc
EQP-040,Bình chứa khí,10 KG/CM2/100 oc,khu vực ngoài,đang hoạt động,Dương Tấn Lộc
EQP-041,Máy phát điện aksan,"800Kva, 380V",khu vực ngoài,đang hoạt động,Dương Tấn Lộc
EQP-042,Máy cắt điện,1250A/380v/50nz,khu vực ngoài,đang hoạt động,Lê Minh Khang
EQP-043,Trạm biến thế,22kv/0.4/800Kva,khu vực ngoài,đang hoạt động,Dương Tấn Lộc
EQP-044,máy nén khí (ELGI: EN7-9.5),7.5kw/380v/9.50 bar.g,khu vực ngoài,đang hoạt động,Lê Minh Khang
EQP-045,Xe nâng điện lớn ES20-20RAS,2000kg/24vdc,Khu vực kho,đang hoạt động,Lê Minh Khang
EQP-046,Xe nâng tay,3000kg,Khu vực kho,đang hoạt động,Lê Minh Khang
EQP-047,Xe nâng điện nhỏ,N/A,Khu vực kho,hỏng,Lê Minh Khang
EQP-048,Xe tải isuzu 84 LD 000.56,11000kg,Khu vực kho,đang hoạt động,Lê Minh Khang
EQP-049,Quạt tạo dòng chảy ao nuôi giống,2.2kw/380v,Khu nuôi giống,dừng hoạt động,Dương Tấn Lộc
EQP-050,Xe du lịch mitshubisi,7 chổ,Khác,đang hoạt động,Lê Minh Khang
